Kanton,NoOFS,Gemeinde,Region
BE,301,Aarberg,2
BE,321,Aarwangen,3
BE,561,Adelboden,3
BE,401,Aefligen,2
BE,731,Aegerten,2
BE,562,Aeschi bei Spiez,3
BE,951,Affoltern im Emmental,3
BE,402,Alchenstorf,2
BE,630,Allmendingen,2
BE,921,Amsoldingen,2
BE,381,Arch,2
BE,602,Arni (BE),2
BE,971,Attiswil,3
BE,322,Auswil,3
BE,323,Bannwil,3
BE,302,Bargen (BE),2
BE,403,Bäriswil,2
BE,533,Bätterkinden,2
BE,571,Beatenberg,3
BE,732,Bellmund,2
BE,861,Belp,2
BE,681,Belprahon,2
BE,972,Berken,3
BE,351,Bern,1
BE,973,Bettenhausen,3
BE,371,Biel/Bienne,1
BE,603,Biglen,2
BE,324,Bleienbach,3
BE,922,Blumenstein,2
BE,352,Bolligen,1
BE,791,Boltigen,3
BE,572,Bönigen,3
BE,605,Bowil,2
BE,353,Bremgarten bei Bern,1
BE,606,Brenzikofen,2
BE,573,Brienz (BE),3
BE,574,Brienzwiler,3
BE,733,Brügg,2
BE,491,Brüttelen,2
BE,923,Buchholterberg,2
BE,382,Büetigen,2
BE,734,Bühl,2
BE,383,Büren an der Aare,2
BE,404,Burgdorf,2
BE,863,Burgistein,2
BE,325,Busswil bei Melchnau,3
BE,683,Champoz,2
BE,687,Corcelles (BE),2
BE,431,Corgémont,2
BE,432,Cormoret,2
BE,433,Cortébert,2
BE,690,Court,2
BE,434,Courtelary,2
BE,691,Crémines,2
BE,575,Därligen,3
BE,761,Därstetten,3
BE,535,Deisswil bei Münchenbuchsee,2
BE,762,Diemtigen,3
BE,385,Diessbach bei Büren,2
BE,386,Dotzigen,2
BE,952,Dürrenroth,3
BE,901,Eggiwil,3
BE,735,Epsach,2
BE,953,Eriswil,3
BE,924,Eriz,2
BE,492,Erlach,2
BE,763,Erlenbach im Simmental,3
BE,405,Ersigen,2
BE,692,Eschert,2
BE,372,Évilard,1
BE,925,Fahrni,2
BE,975,Farnern,3
BE,662,Ferenbalm,2
BE,493,Finsterhennen,2
BE,948,Forst-Längenbühl,2
BE,538,Fraubrunnen,2
BE,663,Frauenkappelen,2
BE,607,Freimettigen,2
BE,563,Frutigen,3
BE,494,Gals,2
