,Ortschaftsname,PLZ,Zusatzziffer,Gemeindename,BFS-Nr,Kantonskürzel,E,N,Sprache
0,Autriche,40,0,Australia,10040,EU AT,14.550072,47.516231,au
1,Belgique,56,0,Belgium,10056,EU BE,4.469936,50.503887,eu
2,Bulgarie,100,0,Bulgaria,10100,EU BG,25.48583,42.733883,eu
3,Chypre,196,0,Cyprus,10196,EU CY,35.126413,33.429859,eu
4,République tchèque,203,0,Czech Republic,10203,EU CZ,15.472962,49.817492,eu
5,Allemagne,276,0,Germany,10276,EU DE,10.451526,51.165691,de
6,Danemark,208,0,Denmark,10208,EU DK,9.501785,56.26392,eu
7,Espagne,724,0,Spain,10724,EU ES,-3.74922,40.463667,eu
8,Estonie,233,0,Estonia,10233,EU EE,25.013607,58.595272,eu
9,France,250,0,France,10250,EU FR,2.213749,46.227638,fr
10,Finlande,246,0,Finland,10246,EU FI,25.748151,61.92411,eu
11,Grande-Bretagne,826,0,United Kingdom,10826,EU GB,-3.435973,55.378051,eu
12,Grèce,300,0,Greece,10300,EU GR,21.824312,39.074208,eu
13,Hongrie,348,0,Hungary,10348,EU HU,19.503304,47.162494,eu
14,Italie,380,0,Italy,10380,EU IT,12.56738,41.87194,it
15,Irlande,372,0,Ireland,10372,EU IE,-8.24389,53.41291,eu
16,Islande,352,0,Iceland,10352,EU IS,-19.020835,64.963051,eu
17,Luxembourg,442,0,Luxembourg,10442,EU LU,6.129583,49.815273,eu
18,Lituanie,440,0,Lithuania,10440,EU LT,23.881275,55.169438,eu
19,Lettonie,428,0,Latvia,10428,EU LV,24.603189,56.879635,eu
20,Malte,470,0,Malta,10470,EU MT,14.375416,35.937496,eu
21,Norvège,578,0,Norway,10578,EU NO,8.468946,60.472024,eu
22,Pays-Bas,528,0,Netherlands,10528,EU NL,5.291266,52.132633,eu
23,Portugal,620,0,Portugal,10620,EU PT,-8.224454,39.399872,eu
24,Pologne,616,0,Poland,10616,EU PL,19.145136,51.919438,eu
25,Roumanie,642,0,Romania,10642,EU RO,24.96676,45.943161,eu
26,Suède,752,0,Sweden,10752,EU SE,18.643501,60.128161,eu
27,République slovaque,703,0,Slovakia,10703,EU SK,19.699024,48.669026,eu
28,Slovénie,705,0,Slovenia,10705,EU SI,14.995463,46.151241,eu
